X_coord,Y_coord,Difficulties,,
0,17,5,,
0,15,4,,
0,14,2,,
0,13,7,,
0,12,4,,
0,11,4,,
0,10,1,,
0,9,2,,
0,8,8,,
0,4,4,,
1,17,9,,
1,15,5,,
1,14,4,,
1,12,5,,
1,11,3,,
1,10,7,,
1,9,8,,
1,8,4,,
1,7,6,,
1,6,3,,
1,5,3,,
1,3,6,,
1,2,7,,
2,17,4,,
2,15,1,,
2,14,4,,
2,13,3,,
2,12,8,,
2,11,4,,
2,10,4,,
2,9,7,,
2,8,2,,
2,7,6,,
2,6,5,,
2,5,2,,
2,4,5,,
3,17,9,,
3,16,4,,
3,15,3,,
3,14,3,,
3,13,2,,
3,12,3,,
3,11,6,,
3,10,5,,
3,9,5,,
3,8,4,,
3,7,1,,
3,6,4,,
3,5,3,,
3,4,2,,
3,2,3,,
4,17,9,,
4,15,4,,
4,14,6,,
4,13,4,,
4,12,7,,
4,11,6,,
4,10,5,,
4,9,6,,
4,8,3,,
4,7,8,,
4,6,6,,
4,5,5,,
5,15,1,,
5,14,4,,
5,13,8,,
5,12,3,,
5,11,4,,
5,10,5,,
5,9,5,,
5,8,4,,
5,7,2,,
5,6,5,,
5,5,1,,
5,4,8,,
6,17,8,,
6,16,4,,
6,15,1,,
6,14,5,,
6,13,4,,
6,12,7,,
6,11,3,,
6,10,3,,
6,9,3,,
6,8,5,,
6,7,5,,
6,6,1,,
6,5,6,,
6,3,8,,
6,1,7,,
7,17,4,,
7,15,4,,
7,14,1,,
7,13,3,,
7,12,3,,
7,11,4,,
7,10,7,,
7,9,8,,
7,8,6,,
7,7,3,,
7,6,1,,
7,4,6,,
8,17,6,,
8,15,6,,
8,14,3,,
8,13,3,,
8,12,2,,
8,11,4,,
8,10,6,,
8,9,6,,
8,8,3,,
8,7,0,,
8,6,2,,
8,5,2,,
8,4,6,,
8,3,3,,
9,15,4,,
9,13,3,,
9,12,4,,
9,11,2,,
9,10,2,,
9,9,3,,
9,8,2,,
9,7,8,,
9,6,5,,
9,5,1,,
9,4,5,,
9,1,2,,
10,17,9,,
10,15,5,,
10,13,2,,
10,12,3,,
10,11,3,,
10,10,7,,
10,9,1,,
10,8,7,,
10,7,3,,
10,6,5,,
10,5,2,,
10,4,9,,